agentId,community_id
13456,1
21649,1
13473,1
13475,1
17571,1
17572,1
21674,1
21675,1
21676,1
21677,1
5294,1
21681,1
1202,1
21684,1
9405,1
21694,1
9408,1
9409,1
9410,1
21699,1
21700,1
21701,1
21703,1
9416,1
9417,1
9421,1
21711,1
5328,1
21716,1
5334,1
9431,1
21720,1
21722,1
9438,1
21727,1
9440,1
5346,1
9449,1
5358,1
5359,1
21760,1
21772,1
1305,1
5415,1
5422,1
13616,1
21811,1
17727,1
17732,1
5449,1
1355,1
5451,1
5453,1
5454,1
5461,1
13655,1
5468,1
17771,1
9582,1
13684,1
5495,1
5499,1
17788,1
1405,1
5501,1
21885,1
5505,1
5506,1
5507,1
13698,1
13700,1
5518,1
9619,1
17812,1
5531,1
9629,1
9649,1
13748,1
13750,1
13751,1
13752,1
21953,1
17858,1
17876,1
13786,1
9693,1
13795,1
13796,1
21997,1
17903,1
22004,1
13815,1
13816,1
13817,1
17924,1
5640,1
17935,1
9744,1
9764,1
17967,1
9777,1
13885,1
17981,1
1602,1
5704,1
1621,1
1622,1
1623,1
1624,1
18017,1
9827,1
22126,1
9841,1
1654,1
1657,1
5773,1
22166,1
9885,1
18079,1
5801,1
22188,1
1708,1
1709,1
1710,1
22195,1
9908,1
5818,1
5819,1
9919,1
5831,1
22219,1
14031,1
22223,1
5850,1
14046,1
1759,1
1760,1
1761,1
5855,1
18145,1
18164,1
5881,1
22281,1
1803,1
1804,1
1805,1
1807,1
22298,1
18208,1
18211,1
5944,1
1853,1
1854,1
1855,1
1856,1
1857,1
10048,1
5962,1
22346,1
10061,1
10066,1
5990,1
5996,1
6000,1
1904,1
1905,1
1907,1
1908,1
6009,1
10106,1
6025,1
10122,1
10126,1
6035,1
6038,1
6042,1
1956,1
1957,1
1958,1
14267,1
10172,1
22462,1
6088,1
18381,1
6096,1
10217,1
10218,1
22517,1
14328,1
14329,1
10232,1
10233,1
14330,1
2052,1
2053,1
2055,1
2056,1
18440,1
22553,1
10268,1
2080,1
10283,1
10284,1
10285,1
2102,1
2103,1
2104,1
10298,1
10299,1
10302,1
10305,1
22600,1
14412,1
14414,1
14415,1
6228,1
10328,1
22617,1
22618,1
6237,1
10340,1
22630,1
2151,1
2153,1
22633,1
22637,1
6261,1
14453,1
6263,1
10359,1
14454,1
14455,1
14481,1
14482,1
6295,1
14503,1
14504,1
14505,1
10410,1
14506,1
6316,1
14507,1
6322,1
22706,1
22714,1
6348,1
6349,1
14546,1
6355,1
14547,1
14548,1
22753,1
6374,1
2280,1
10475,1
10476,1
10477,1
18669,1
22769,1
14586,1
22780,1
14589,1
14590,1
10498,1
6403,1
6406,1
22792,1
6411,1
18699,1
6415,1
22803,1
14616,1
14620,1
22813,1
10530,1
22820,1
22821,1
14631,1
14632,1
18727,1
2346,1
14639,1
18740,1
10549,1
22836,1
6455,1
2363,1
2365,1
10557,1
2372,1
2375,1
14663,1
2387,1
2388,1
2389,1
2391,1
2393,1
2394,1
2395,1
2396,1
2397,1
2398,1
2399,1
2400,1
2401,1
2403,1
2404,1
2405,1
10601,1
2411,1
22891,1
2415,1
2416,1
22897,1
22898,1
10612,1
2421,1
2423,1
2425,1
2426,1
14717,1
10625,1
2434,1
14721,1
2436,1
14724,1
2438,1
2440,1
2441,1
2442,1
2450,1
10642,1
10643,1
2455,1
6552,1
18846,1
6560,1
2466,1
2467,1
2468,1
6565,1
2471,1
10664,1
2473,1
2474,1
2475,1
2476,1
6571,1
14765,1
2479,1
2480,1
2481,1
2482,1
2483,1
2484,1
2485,1
2486,1
2487,1
2488,1
2489,1
2490,1
22968,1
22966,1
22973,1
2494,1
22978,1
2513,1
2515,1
2517,1
2524,1
18909,1
2529,1
2530,1
2533,1
14824,1
2541,1
2548,1
18938,1
14848,1
14850,1
2574,1
2578,1
2579,1
2580,1
2581,1
2582,1
14869,1
2584,1
2585,1
2586,1
2587,1
18966,1
10781,1
10782,1
2592,1
14881,1
18976,1
6692,1
23078,1
18991,1
2610,1
2619,1
19008,1
23106,1
10821,1
14919,1
2634,1
